symbol,company_name,yahoo_ticker,industry,sector,trailing_pe,forward_pe,peg_ratio,price_to_book,debt_to_equity,return_on_equity,return_on_assets,profit_margins,market_cap,promoter_holding_proxy_pct,industry_median_pe,company_news_sentiment,ceo_commentary_sentiment,pe_assessment,score,reason_summary,return_potential_flag
BHARTIARTL,Bharti Airtel Limited,BHARTIARTL.NS,Telecom Services,Communication Services,39.063614,29.137592,,9.649808,117.095,0.23125,0.07774,0.14937,12045276676096.0,51.32299999999999,43.571967,,,undervalued_vs_industry,8,PE favorable; Forward PE improving; High ROE; Healthy margins; High insider/promoter proxy,High Potential
HCLTECH,HCL Technologies Limited,HCLTECH.NS,Information Technology Services,Technology,23.6968,19.56403,,5.263014,9.747,0.23188,0.12874,0.13024999,3886669889536.0,62.653000000000006,23.156301499999998,,,fair_vs_industry,8,PE acceptable; Forward PE improving; High ROE; Healthy margins; Manageable debt; High insider/promoter proxy,High Potential
CRISIL,CRISIL Limited,CRISIL.NS,Financial Data & Stock Exchanges,Financial Services,43.669918,31.257553,,11.011213,9.785,0.27366,0.13948,0.20992,334262992896.0,71.88799999999999,43.669918,,,fair_vs_industry,8,PE acceptable; Forward PE improving; High ROE; Healthy margins; Manageable debt; High insider/promoter proxy,High Potential
HEXT,Hexaware Technologies Limited,HEXT.NS,Information Technology Services,Technology,23.529812,18.985508,,5.026486,10.783,0.23455,0.11734,0.10195,317438787584.0,75.238,23.156301499999998,,,fair_vs_industry,8,PE acceptable; Forward PE improving; High ROE; Healthy margins; Manageable debt; High insider/promoter proxy,High Potential
AJAXENGG,Ajax Engineering Limited,AJAXENGG.NS,Farm & Heavy Construction Machinery,Industrials,25.440104,19.306326,,4.4672585,0.043,0.22328,0.13101,0.11331,55882002432.0,82.294,27.0061245,,,fair_vs_industry,8,PE acceptable; Forward PE improving; High ROE; Healthy margins; Manageable debt; High insider/promoter proxy,High Potential
ACCELYA,Accelya Solutions India Limited,ACCELYA.NS,Information Technology Services,Technology,16.394123,18.897764,,6.717812,33.047,0.39095002,0.21795,0.20044,17710393344.0,77.037,23.156301499999998,,,undervalued_vs_industry,8,PE favorable; High ROE; Healthy margins; Manageable debt; High insider/promoter proxy,High Potential
BEL,Bharat Electronics Limited,BEL.NS,Aerospace & Defense,Industrials,54.0625,44.61482,,14.9664135,0.273,,,0.22475,3224708841472.0,53.198004,61.2582225,,,undervalued_vs_industry,7,PE favorable; Forward PE improving; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
HAL,Hindustan Aeronautics Limited,HAL.NS,Aerospace & Defense,Industrials,31.34867,27.855894,,7.513202,0.031,,,0.27084,2788791681024.0,71.639,61.2582225,,,undervalued_vs_industry,7,PE favorable; Forward PE improving; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
COALINDIA,Coal India Limited,COALINDIA.NS,Thermal Coal,Energy,8.742002,7.87757,,2.4757857,12.976,,,0.23179,2610223644672.0,63.137,9.7691,,,undervalued_vs_industry,7,PE favorable; Forward PE improving; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
BANKBARODA,Bank of Baroda,BANKBARODA.NS,Banks - Regional,Financial Services,8.21068,7.886443,,0.97278833,,0.12813,0.01044,0.29962,1598209392640.0,65.81700000000001,10.729022,,,undervalued_vs_industry,7,PE favorable; Forward PE improving; Decent ROE; Healthy margins; High insider/promoter proxy,Watchlist
HDFCLIFE,HDFC Life Insurance Company Limited,HDFCLIFE.NS,Insurance - Life,Financial Services,83.36957,65.545715,,8.924067,17.607,0.11316,0.0036700002,0.01815,1571753426944.0,55.971000000000004,99.211713,,,undervalued_vs_industry,7,PE favorable; Forward PE improving; Decent ROE; Manageable debt; High insider/promoter proxy,Watchlist
CANBK,Canara Bank,CANBK.NS,Banks - Regional,Financial Services,6.9218674,7.166361,,1.1917278,,0.18215,0.01169,0.34346,1398240837632.0,62.934,10.729022,,,undervalued_vs_industry,7,PE favorable; High ROE; Healthy margins; High insider/promoter proxy,Watchlist
ABB,ABB India Limited,ABB.NS,Specialty Industrial Machinery,Industrials,71.94184,57.623768,,16.187687,1.082,0.22391,0.091120005,0.12636,1268769095680.0,75.318,41.679718,,,overvalued_vs_industry,7,Forward PE improving; High ROE; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
DRREDDY,Dr. Reddy's Laboratories Limited,DRREDDY.NS,Drug Manufacturers - Specialty & Generic,Healthcare,18.868258,23.28393,,2.8628285,18.026,0.161,0.079569995,0.16363001,1066020306944.0,29.455,27.370273500000003,,,undervalued_vs_industry,7,PE favorable; High ROE; Healthy margins; Manageable debt; Moderate insider/promoter proxy,Watchlist
BHARTIHEXA,Bharti Hexacom Limited,BHARTIHEXA.NS,Telecom Services,Communication Services,48.08032,32.953976,,12.563446,94.665,0.28811002,0.090629995,0.19015,844050006016.0,85.0,43.571967,,,fair_vs_industry,7,PE acceptable; Forward PE improving; High ROE; Healthy margins; High insider/promoter proxy,Watchlist
BANKINDIA,Bank of India,BANKINDIA.NS,Banks - Regional,Financial Services,7.9601297,7.451442,,0.9043458,,0.1205,0.00907,0.31186,781693026304.0,73.383003,10.729022,,,undervalued_vs_industry,7,PE favorable; Forward PE improving; Decent ROE; Healthy margins; High insider/promoter proxy,Watchlist
AUROPHARMA,Aurobindo Pharma Limited,AUROPHARMA.NS,Drug Manufacturers - Specialty & Generic,Healthcare,19.303682,15.426934,,1.9204667,22.248,,,0.10509,673032896512.0,54.196,27.370273500000003,,,undervalued_vs_industry,7,PE favorable; Forward PE improving; Healthy margins; Manageable debt; High insider/promoter proxy,Watchlist
