symbol,yahoo_ticker,company_name,industry,sector,trailing_pe,forward_pe,peg_ratio,price_to_book,debt_to_equity,return_on_equity,return_on_assets,profit_margins,market_cap,promoter_holding_proxy_pct
20MICRONS,20MICRONS.NS,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,9.784346,,,1.3888694,35.637,,,0.07001,6327302144.0,56.194
21STCENMGM,21STCENMGM.NS,21st Century Management Services Limited,Capital Markets,Financial Services,,,,0.8060876,,,,0.0,399111552.0,72.41499999999999
360ONE,360ONE.NS,360 ONE WAM LIMITED,Asset Management,Financial Services,38.603996,30.795832,,4.7615957,147.235,,,0.27832,446569218048.0,17.488999999999997
3IINFOLTD,3IINFOLTD.NS,3i Infotech Limited,Information Technology Services,Technology,3.687817,,,0.7960771,10.763,,,0.07819,3018435072.0,11.883000000000001
3MINDIA,3MINDIA.NS,3M India Limited,Conglomerates,Industrials,107.526405,54.77345,,25.28379,6.416,,,0.07739,407175954432.0,76.48
3PLAND,3PLAND.NS,3P Land Holdings Limited,,,,,,,,,,,,
5PAISA,5PAISA.NS,5Paisa Capital Limited,Capital Markets,Financial Services,23.315334,20.893549,,1.6126783,46.389,,,0.15349,10120907776.0,64.777
63MOONS,63MOONS.NS,63 moons technologies limited,Software - Application,Technology,,,,0.8470998,0.148,,,-0.34127998,29579579392.0,58.001999999999995
A2ZINFRA,A2ZINFRA.NS,A2Z Infra Engineering Limited,Engineering & Construction,Industrials,105.0,,,5.458596,353.886,,,0.00619,2588961792.0,37.053000000000004
AAATECH,AAATECH.NS,AAA Technologies Limited,Information Technology Services,Technology,43.321136,,,4.439862,,,,0.12382,1366952064.0,49.848998
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Limited,Mortgage Finance,Financial Services,20.572962,15.564575,,3.007592,255.35,,,0.48024,207940272128.0,75.51
AAKASH,AAKASH.NS,Aakash Exploration Services Limited,Oil & Gas Equipment & Services,Energy,,,,1.301784,53.68,,,0.01798,871762496.0,
AAREYDRUGS,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,Drug Manufacturers - Specialty & Generic,Healthcare,64.36065,,,1.4798899,38.267,,,0.00879,2226379776.0,51.037
AARON,AARON.NS,Aaron Industries Limited,Specialty Industrial Machinery,Industrials,49.54192,,,7.78719,72.439,,,0.08141,3466013696.0,
AARTECH,AARTECH.NS,Aartech Solonics Limited,Electrical Equipment & Parts,Industrials,47.935486,,,4.1851296,15.972,,,0.05098,1416323456.0,71.533996
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Limited,Drug Manufacturers - Specialty & Generic,Healthcare,16.838533,15.072873,,2.5068004,39.05,,,0.08033,33996328960.0,61.234003
